# Freq.,Pxx2,Pxx3,Pxx4
2.150000000000000000e+02,8.185816766445824578e-09,3.707516879865814794e-08,3.989471948185377741e-08
2.160000000000000000e+02,7.265841016496123930e-09,3.789895088328881418e-08,4.360543757046679296e-08
2.170000000000000000e+02,9.130623257165846470e-09,3.980151657472430136e-08,4.787283131546404436e-08
2.180000000000000000e+02,8.735319615274576011e-09,3.570206728701856590e-08,4.624939254639928741e-08
2.190000000000000000e+02,7.333082933283433571e-09,4.425617039662182491e-08,5.760146271304644583e-08
2.200000000000000000e+02,7.685390620428558078e-09,3.934894523714306267e-08,4.477040946712643266e-08
2.210000000000000000e+02,7.470679589481693723e-09,3.061499608891526389e-08,4.073380584922984636e-08
2.220000000000000000e+02,6.176025236116235769e-09,3.448323331077729821e-08,3.715437157218450578e-08
2.230000000000000000e+02,6.852206556236223407e-09,4.358330490481238475e-08,4.076337183254598553e-08
2.240000000000000000e+02,9.135830862974756118e-09,3.967102113098897512e-08,5.702489378234119475e-08
2.250000000000000000e+02,8.598190867007136890e-09,4.045029461307665959e-08,4.711167261689725856e-08
2.260000000000000000e+02,1.002574103495318191e-08,4.017410519560241014e-08,3.812283478574382364e-08
2.270000000000000000e+02,1.135254276161092727e-08,3.955004970569223122e-08,3.891191517643335045e-08
2.280000000000000000e+02,1.026932691936594339e-08,3.759441108800921898e-08,3.952624063866428130e-08
2.290000000000000000e+02,7.873634085878972182e-09,3.403191905044628522e-08,5.037044113821938427e-08
2.300000000000000000e+02,9.210898367620658070e-09,3.885068149111051263e-08,4.604686496514525792e-08
2.310000000000000000e+02,9.526270730240549262e-09,4.195093097848265404e-08,3.782059020518166785e-08
2.320000000000000000e+02,6.619731487234311355e-09,3.695726000814624159e-08,4.643562186075032289e-08
2.330000000000000000e+02,5.890529641109102351e-09,4.561924807100739339e-08,5.118403487462754808e-08
2.340000000000000000e+02,8.199024041692393220e-09,4.360810696325620721e-08,4.248231491788783927e-08
2.350000000000000000e+02,8.855962853601551594e-09,3.802802024589868181e-08,4.046824217549923773e-08
2.360000000000000000e+02,6.181788141994677389e-09,3.386564966046945822e-08,4.273443847963504479e-08
2.370000000000000000e+02,6.846910851363548249e-09,5.032149034530908295e-08,4.537683940541150329e-08
2.380000000000000000e+02,7.105942533154121846e-09,4.399861911177723722e-08,5.199459482869216237e-08
2.390000000000000000e+02,7.588596781421912061e-09,3.973066256471845247e-08,5.374290475372002854e-08
2.400000000000000000e+02,6.461334215485921791e-09,4.999829058587549276e-08,4.774047982851502015e-08
2.410000000000000000e+02,5.817039424920580556e-09,5.072433515640932121e-08,4.609786021454521538e-08
2.420000000000000000e+02,7.112776422279703249e-09,4.126094213724891352e-08,4.514567538780707834e-08
2.430000000000000000e+02,7.649771056171193850e-09,4.237048179032679072e-08,5.332667824369660829e-08
2.440000000000000000e+02,7.715857372884894065e-09,4.158364326116982341e-08,4.711869262898478375e-08
2.450000000000000000e+02,6.722365712030583996e-09,4.332940530398095781e-08,4.371264038532990577e-08
2.460000000000000000e+02,6.870769889700160646e-09,4.373392521862580026e-08,3.704962421037359286e-08
2.470000000000000000e+02,8.786258395364782307e-09,5.116268264962237405e-08,3.726875201209363344e-08
2.480000000000000000e+02,1.049993856165253215e-08,4.726768077342256876e-08,3.973180165477812790e-08
2.490000000000000000e+02,1.074449314588519434e-08,4.067802168041885216e-08,5.236587654226851492e-08
2.500000000000000000e+02,9.798703463108582163e-09,4.648979302407361430e-08,4.877491961078713583e-08
2.510000000000000000e+02,8.161678600642791150e-09,4.528692109851706382e-08,6.396592872988214508e-08
2.520000000000000000e+02,7.651777303237730281e-09,6.274301010633963098e-08,5.367641651445564206e-08
2.530000000000000000e+02,8.514310524745252669e-09,5.728852962537319613e-08,4.925986814983708764e-08
2.540000000000000000e+02,9.269540050903111904e-09,4.122483378572035811e-08,4.513156813601147973e-08
2.550000000000000000e+02,8.143558888622934706e-09,3.905381905614122997e-08,4.498723815456323788e-08
2.560000000000000000e+02,6.784744477801233147e-09,4.183762425939274900e-08,4.345785928817521583e-08
2.570000000000000000e+02,7.467914788158241574e-09,4.575830572196458178e-08,4.862907568021027711e-08
2.580000000000000000e+02,7.812529457726277138e-09,4.614110456847653692e-08,6.721942076763400062e-08
2.590000000000000000e+02,6.529965409395263937e-09,4.767800194525680240e-08,5.911074144476809935e-08
2.600000000000000000e+02,5.327554644358744137e-09,4.007272165061142446e-08,4.224632343527703009e-08
2.610000000000000000e+02,6.581262931560635149e-09,4.862184485103295459e-08,4.549605305541674634e-08
2.620000000000000000e+02,6.885715704565490994e-09,6.095045063326048364e-08,4.923252356518187877e-08
2.630000000000000000e+02,7.505734518633709971e-09,5.652365430474848433e-08,5.076528521651154068e-08
2.640000000000000000e+02,8.094976037343359575e-09,4.545931581423832113e-08,6.080351809720103252e-08
2.650000000000000000e+02,6.335096706570372900e-09,4.129515296219165803e-08,5.526150829845701290e-08
2.660000000000000000e+02,7.748362277286294345e-09,4.287311076261144797e-08,5.599707329758227709e-08
2.670000000000000000e+02,7.744994642565401554e-09,5.543757323164175561e-08,5.697690030242355407e-08
2.680000000000000000e+02,6.883128561545048260e-09,5.290377128865394405e-08,5.852583065241421319e-08
2.690000000000000000e+02,6.732033328716463546e-09,5.454960380715685090e-08,6.611824624728670542e-08
2.700000000000000000e+02,6.787910264383171650e-09,4.028893099468786479e-08,7.882927265097555602e-08
2.710000000000000000e+02,6.700409881180777896e-09,4.801627747219641357e-08,6.992749350560471600e-08
2.720000000000000000e+02,7.647012861329046357e-09,5.899382667186801228e-08,4.924315353750972307e-08
2.730000000000000000e+02,7.488798177362460779e-09,5.880440624337252931e-08,5.104007533557057782e-08
2.740000000000000000e+02,6.772034996304114603e-09,4.869806816212115208e-08,5.925746748056533291e-08
2.750000000000000000e+02,6.047498597836885911e-09,4.360091612467287449e-08,5.012091184586947209e-08
2.760000000000000000e+02,5.548725290038874217e-09,3.526358666471600507e-08,4.943896786799329660e-08
2.770000000000000000e+02,5.860544995502322104e-09,4.140985400956227870e-08,5.450543440982234315e-08
2.780000000000000000e+02,5.371050622296752013e-09,4.484551722175018644e-08,5.742148412958134745e-08
2.790000000000000000e+02,5.122301971920879098e-09,5.030085478110920149e-08,6.390922276882813366e-08
2.800000000000000000e+02,4.993524835168621667e-09,5.518161324755800802e-08,5.975634695002772688e-08
2.810000000000000000e+02,6.091488239841097819e-09,5.441315140803220587e-08,4.465472473608073333e-08
2.820000000000000000e+02,5.669327548144989108e-09,5.701257794481579706e-08,4.783652847935423735e-08
2.830000000000000000e+02,6.094953309543090234e-09,4.964087495476293239e-08,5.633762356218383398e-08
2.840000000000000000e+02,5.154138320442716277e-09,5.196351010180562177e-08,5.521359166017642620e-08
2.850000000000000000e+02,4.943391748452480697e-09,5.330621964756263197e-08,5.952728890322363737e-08
2.860000000000000000e+02,6.052775804050543157e-09,5.024947967240255275e-08,4.927549160913069163e-08
2.870000000000000000e+02,5.637924252453136887e-09,4.752979990630452927e-08,4.497192566783601339e-08
